,Proton Number,Nucleon Number,Binding Energy
2328,71.0,171,1.3547977917789922
2329,72.0,171,1.3514019479999888
2330,73.0,171,1.3466928439999606
2331,74.0,171,1.3410611189999884
2332,75.0,171,1.3342284039999583
2333,76.0,171,1.3262790457379765
2334,77.0,171,1.3173980208799776
2335,78.0,171,1.3074573038919937
2336,79.0,171,1.2965582927769788
2337,80.0,171,1.2846623649999742
2338,64.0,172,1.344952744999972
2339,65.0,172,1.3506689789999768
2340,66.0,172,1.3577342319999843
2341,67.0,172,1.3604563700000085
2342,68.0,172,1.364452617808979
2343,69.0,172,1.3643431211710038
2344,70.0,172,1.3652240251259968
2345,71.0,172,1.3617059810800072
2346,72.0,172,1.3603723144039463
2347,73.0,172,1.354302754999992
2348,74.0,172,1.35107114799996
2349,75.0,172,1.3425447903850056
2350,76.0,172,1.3372238853209808
2351,77.0,172,1.3263648504149614
2352,78.0,172,1.3190954740709913
2353,79.0,172,1.3063130685759745
2354,80.0,172,1.297060799088996
2355,65.0,173,1.3554905450000092
2356,66.0,173,1.3617169669999782
2357,67.0,173,1.3663243799999805
2358,68.0,173,1.3696255999999778
2359,69.0,173,1.3712262274700038
2360,70.0,173,1.3715207075590001
2361,71.0,173,1.369850842817982
2362,72.0,173,1.3673823969999717
2363,73.0,173,1.3633687499999496
2364,74.0,173,1.3587015409999879
2365,75.0,173,1.3525307669999904
2366,76.0,173,1.3454183917029638
2367,77.0,173,1.3372524009130018
2368,78.0,173,1.3279251226179838
2369,79.0,173,1.3178252111469817
2370,80.0,173,1.3066598669999792
2371,65.0,174,1.358952850999998
2372,66.0,174,1.367108304999988
2373,67.0,174,1.370845232999983
2374,68.0,174,1.375921869999985
2375,69.0,174,1.3768359492090099
2376,70.0,174,1.378914315604959
2377,71.0,174,1.3765408159599986
2378,72.0,174,1.3758149610129635
2379,73.0,174,1.3707133259999864
2380,74.0,174,1.3682004509999786
2381,75.0,174,1.3606499349999694
2382,76.0,174,1.3559741682479967
2383,77.0,174,1.3457696067910092
2384,78.0,174,1.3393041787389848
2385,79.0,174,1.327050651999997
2386,80.0,174,1.3186374946749595
2387,66.0,175,1.3707102609999708
2388,67.0,175,1.376276603999969
2389,68.0,175,1.380626129999996
2390,69.0,175,1.3832828093899536
2391,70.0,175,1.3846665445829842
2392,71.0,175,1.3841364165589596
2393,72.0,175,1.3824528642559812
2394,73.0,175,1.3793808529999865
2395,74.0,175,1.375606472999948
2396,75.0,175,1.370264289000005
2397,76.0,175,1.364084087693982
2398,77.0,175,1.3563767978109809
2399,78.0,175,1.347695047917
2400,79.0,175,1.3383944548749582
2401,80.0,175,1.3279652161189972
2402,66.0,176,1.375592341999976
2403,67.0,176,1.3803691969999932
2404,68.0,176,1.386605860000003
2405,69.0,176,1.3883451347829805
2406,70.0,176,1.3914629487139791
2407,71.0,176,1.3903540170589679
2408,72.0,176,1.3905474789929997
2409,73.0,176,1.3863381329999527
2410,74.0,176,1.3846147459999827
2411,75.0,176,1.378038986999968
2412,76.0,176,1.3741088367349903
2413,77.0,176,1.3648639510089993
2414,78.0,176,1.3589185711779805
2415,79.0,176,1.3475111428249988
2416,80.0,176,1.3397783882299734
2417,81.0,176,1.3264155824389832
2418,67.0,177,1.3852605879999942
2419,68.0,177,1.3908353099999715
2420,69.0,177,1.3945443079999507
2421,70.0,177,1.3969593593739944
2422,71.0,177,1.397356116330002
2423,72.0,177,1.396852695902993
2424,73.0,177,1.3946873138599756
2425,74.0,177,1.3916753669999764
2426,75.0,177,1.3872446319999767
2427,76.0,177,1.3819341932380098
2428,77.0,177,1.3750283034999882
2429,78.0,177,1.3673548573289906
2430,79.0,177,1.3585343083689736
2431,80.0,177,1.3487690467099753
2432,81.0,177,1.3383383313879733
2433,67.0,178,1.3891129829999898
2434,68.0,178,1.39623875099997
2435,69.0,178,1.3992169139999646
2436,70.0,178,1.4036507886000038
2437,71.0,178,1.403311179484973
2438,72.0,178,1.4044075522180037
2439,73.0,178,1.4015719199999808
2440,74.0,178,1.40038032857899
2441,75.0,178,1.3946292410000183
2442,76.0,178,1.3915211460459602
2443,77.0,178,1.3832350832549878
2444,78.0,178,1.3779805128719715
2445,79.0,178,1.3672911992659635
2446,80.0,178,1.360306692163988
2447,81.0,178,1.3476112429999603
2448,82.0,178,1.3384285247990135
2449,68.0,179,1.4000604230000135
2450,69.0,179,1.4048782419999952
2451,70.0,179,1.4086151699999903
2452,71.0,179,1.410032990964993
2453,72.0,179,1.4104362686450145
2454,73.0,179,1.4093307444499885
2455,74.0,179,1.4072690990819865
2456,75.0,179,1.4035596023339565
2457,76.0,179,1.3989973179649837
2458,77.0,179,1.3930615199859915
2459,78.0,179,1.3862510111979702
2460,79.0,179,1.3779753169539788
2461,80.0,179,1.3689239423709694
2462,81.0,179,1.3592652457649876
2463,82.0,179,1.347949479947971
2464,68.0,180,1.405162219999994
2465,69.0,180,1.4091495869999733
2466,70.0,180,1.4146963789999916
2467,71.0,180,1.4156517173360044
2468,72.0,180,1.4177530710529709
2469,73.0,180,1.4159076746409767
2470,74.0,180,1.415609913975942
2471,75.0,180,1.4108130501919902
2472,76.0,180,1.4083326698849987
2473,77.0,180,1.400957385773978
2474,78.0,180,1.3964116126900024
2475,79.0,180,1.386612053921965
2476,80.0,180,1.3802397724199693
2477,81.0,180,1.3683854575499765
2478,82.0,180,1.3599400392129724
2479,69.0,181,1.414420825999997
2480,70.0,181,1.4190664099999992
2481,71.0,181,1.4217736519999562
2482,72.0,181,1.423377813545983
2483,73.0,181,1.4234133704319447
2484,74.0,181,1.4222083595769845
2485,75.0,181,1.4194927369829884
2486,76.0,181,1.4155268679719768
2487,77.0,181,1.410442102678985
2488,78.0,181,1.404363260273982
2489,79.0,181,1.3968563560380005
2490,80.0,181,1.3886501683919619
2491,81.0,181,1.379791960481981
2492,82.0,181,1.3691089813999895
2493,69.0,182,1.418473385999988
2494,70.0,182,1.4248794909999845
2495,71.0,182,1.4267479019999882
2496,72.0,182,1.4300252101959927
2497,73.0,182,1.4294060562279753
2498,74.0,182,1.4302205528839522
2499,75.0,182,1.4264220376399805
2500,76.0,182,1.424585446625997
2501,77.0,182,1.4180309684239774
2502,78.0,182,1.4141492357449863
2503,79.0,182,1.4052889628769663
2504,80.0,182,1.399564379936976
2505,81.0,182,1.3883201437810158
2506,82.0,182,1.3808209370529596
2507,70.0,183,1.4289813940000045
2508,71.0,183,1.4326950469999815
2509,72.0,183,1.4352605880069689
2510,73.0,183,1.4362695212199696
2511,74.0,183,1.4363410687039675
2512,75.0,183,1.434785364113992
2513,76.0,183,1.431640598932006
2514,77.0,183,1.4271808139389748
2515,78.0,183,1.421754221755009
2516,79.0,183,1.4151754733139796
2517,80.0,183,1.4077920289880126
2518,81.0,183,1.3995784631669608
